age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,year
31,179,604,73,295,33,305,64,61,287,60,125,1821,Nemanja Bjelica,107,193,759,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bjeline01,54,SACRAMENTO_KINGS,92,14.6,1.7,1.6,0.4,19.4,1.7,0.121,1.2,6.5,3.0,15.6,1.4,0.488,12.8,0.597,12.6,17.4,1.7,4.7,0.125,2020
30,302,662,193,201,25,218,56,56,319,157,70,1524,Eric Bledsoe,41,120,865,[<Position.POINT_GUARD: 'POINT GUARD'>],bledser01,53,MILWAUKEE_BUCKS,140,28.5,1.4,2.2,1.1,13.3,2.9,0.292,1.1,2.8,2.4,18.1,1.6,0.304,8.4,0.579,15.8,24.0,1.6,5.3,0.168,2020
27,169,639,105,380,14,154,53,20,277,76,137,1510,Bogdan Bogdanović,17,115,767,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bogdabo01,54,SACRAMENTO_KINGS,89,17.2,0.9,0.4,-0.3,11.8,1.1,0.164,0.7,1.2,1.2,14.3,1.7,0.595,6.4,0.56,11.5,22.3,0.9,2.4,0.075,2020
30,131,935,277,457,7,220,63,63,418,250,189,2083,Bojan Bogdanović,39,110,1275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bogdabo02,34,UTAH_JAZZ,159,9.9,0.3,0.2,-1.5,11.1,1.6,0.296,1.6,2.2,2.7,15.7,0.8,0.489,6.8,0.603,13.1,25.6,1.1,4.3,0.099,2020
24,0,3,2,1,0,1,4,0,2,0,0,14,Jonah Bolden,0,4,4,[<Position.POWER_FORWARD: 'POWER FORWARD'>],boldejo01,1,PHILADELPHIA_76ERS,2,0.0,0.0,-14.7,-0.7,7.9,0.0,0.667,-13.9,0.0,-0.1,-2.0,3.5,0.333,3.9,0.515,34.0,18.1,0.0,0.0,-0.147,2020
24,0,8,2,3,2,5,3,0,2,2,0,33,Jonah Bolden,3,6,6,[<Position.POWER_FORWARD: 'POWER FORWARD'>],boldejo01,2,PHOENIX_SUNS,0,0.0,5.3,-6.5,0.1,17.2,0.1,0.25,-6.6,9.9,0.0,7.9,2.9,0.375,13.5,0.338,0.0,11.4,0.0,0.0,0.051,2020
21,0,0,0,0,0,2,1,0,0,0,0,3,Marques Bolden,0,1,0,[<Position.CENTER: 'CENTER'>],boldema01,1,CLEVELAND_CAVALIERS,0,0.0,0.0,5.5,11.3,74.7,0.0,0.0,-5.8,0.0,0.0,19.8,16.2,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.282,2020
22,8,20,0,10,0,4,10,0,5,0,2,53,Jordan Bone,0,6,12,[<Position.POINT_GUARD: 'POINT GUARD'>],bonejo01,1,DETROIT_PISTONS,2,21.0,0.0,-11.9,-2.9,8.7,0.0,0.0,-9.0,0.0,-0.1,0.8,0.9,0.5,4.3,0.3,9.1,18.1,-0.1,-0.1,-0.118,2020
20,61,184,64,55,21,122,58,41,96,52,22,1025,Isaac Bonga,61,136,266,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bongais01,37,WASHINGTON_WIZARDS,41,7.7,1.8,-2.4,0.0,13.6,0.4,0.348,-2.4,6.3,1.3,10.7,1.7,0.299,9.8,0.627,16.2,10.3,-0.1,1.7,0.081,2020
23,408,1118,442,350,16,231,62,62,544,405,126,2241,Devin Booker,27,188,1619,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bookede01,45,PHOENIX_SUNS,244,30.2,0.6,1.7,-1.4,11.7,1.2,0.395,3.1,1.3,4.8,19.8,1.0,0.313,6.4,0.617,15.7,29.5,2.1,6.0,0.129,2020
27,23,260,103,99,53,148,55,0,119,82,28,724,Chris Boucher,94,104,348,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bouchch01,20,TORONTO_RAPTORS,23,4.7,7.1,1.4,1.0,21.1,1.5,0.396,0.4,14.0,1.7,19.8,1.3,0.381,17.7,0.57,7.0,19.4,0.6,3.2,0.214,2020
21,0,9,0,2,1,6,5,1,2,0,0,29,Brian Bowen,1,2,4,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bowenbr02,0,INDIANA_PACERS,1,0.0,3.0,-11.8,-2.1,22.7,0.0,0.0,-9.7,3.8,-0.1,-2.0,0.0,0.222,13.3,0.222,10.0,15.2,-0.1,-0.1,-0.154,2020
22,131,321,41,107,10,97,45,12,134,34,33,1015,Ky Bowman,24,102,335,[<Position.POINT_GUARD: 'POINT GUARD'>],bowmaky01,44,GOLDEN_STATE_WARRIORS,70,19.4,0.9,-4.3,-0.3,10.7,0.6,0.128,-4.0,2.5,-0.6,9.2,2.1,0.333,6.5,0.494,17.1,17.2,-0.6,-0.1,-0.003,2020
29,63,383,24,173,5,97,49,44,170,20,63,1186,Avery Bradley,18,110,423,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bradlav01,43,LOS_ANGELES_LAKERS,47,7.1,0.4,-2.4,0.5,8.7,1.4,0.063,-2.9,1.7,0.2,8.9,1.7,0.452,5.3,0.537,10.7,15.7,-0.1,1.6,0.066,2020
22,17,155,40,1,25,126,50,2,103,26,1,535,Tony Bradley,90,98,233,[<Position.CENTER: 'CENTER'>],bradlto01,12,UTAH_JAZZ,23,4.9,3.9,1.3,0.4,24.7,0.9,0.258,0.9,19.3,1.8,21.8,1.1,0.006,22.1,0.675,11.8,16.1,0.4,2.7,0.242,2020
23,1,0,0,0,2,5,5,0,0,0,0,13,Jarrell Brantley,0,2,0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],brantja01,0,UTAH_JAZZ,2,9.2,12.8,-2.7,5.9,40.3,0.0,0.0,-8.6,0.0,0.0,2.7,0.0,0.0,21.1,0.0,100.0,6.8,0.0,0.0,-0.053,2020
