Player,Team,Position,Salary,FantasyScore,C,PF,PG,SF,SG
Kenrich Williams,NOP,"SF,PF",1416852 ,-3.87,0,1,0,1,0
John Konchar,MEM,SG,79568 ,-3.88,0,0,0,0,1
Gary Payton II,WAS,SG,1090781 ,-3.88,0,0,0,0,1
Luke Kornet?,CHI,"PF,C",2195122 ,-3.9,1,1,0,0,0
E'Twaun Moore,NOP,"SG,SF",8664928 ,-3.92,0,0,0,1,1
Bismack Biyombo,CHA,"PF,C",17000000 ,-3.97,1,1,0,0,0
David Nwaba,BKN,"SG,SF",1678854 ,-4,0,0,0,1,1
Isaiah Hartenstein,HOU,PF,1416852 ,-4,0,1,0,0,0
RJ Barrett,NYK,"SG,SF",7839960 ,-4.06,0,0,0,1,1
James Ennis III,ORL,"SG,SF",1882867 ,-4.08,0,0,0,1,1
Emmanuel Mudiay,UTA,PG,1737145 ,-4.09,0,0,1,0,0
Torrey Craig,DEN,"SG,SF",2100000 ,-4.11,0,0,0,1,1
Jarrett Culver,MIN,"PG,SG,SF",5813640 ,-4.12,0,0,1,1,1
Jevon Carter,PHO,PG,1416852 ,-4.23,0,0,1,0,0
Cody Martin,CHA,SF,1173310 ,-4.24,0,0,0,1,0
Anfernee Simons,POR,"PG,SG",2149560 ,-4.24,0,0,1,0,1
CJ Miles,WAS,"SG,SF",8730158 ,-4.24,0,0,0,1,1
Al-Farouq Aminu?,ORL,"SF,PF",9258000 ,-4.25,0,1,0,1,0
Keita Bates-Diop?,DEN,"SF,PF",1416852 ,-4.29,0,1,0,1,0
Chris Chiozza,BKN,PG,137374 ,-4.31,0,0,1,0,0
Tony Bradley,UTA,C,1962360 ,-4.34,1,0,0,0,0
Luguentz Dort,OKC,SG,79568 ,-4.4,0,0,0,0,1
Cristiano Felicio,CHI,C,8156500 ,-4.42,1,0,0,0,0
Jordan Poole,GSW,SG,1964760 ,-4.53,0,0,0,0,1
Mario Hezonja,POR,"SG,SF",1737145 ,-4.55,0,0,0,1,1
Kelan Martin?,MIN,SG,79568 ,-4.56,0,0,0,0,1
Garrison Mathews,WAS,SG,79568 ,-4.56,0,0,0,0,1
Kyle O'Quinn,PHI,"PF,C",2028594 ,-4.57,1,1,0,0,0
Boban Marjanovic,DAL,C,3500000 ,-4.6,1,0,0,0,0
Darius Bazley?,OKC,"SF,PF",2284800 ,-4.64,0,1,0,1,0
Abdel Nader,OKC,"SF,PF",1618520 ,-4.64,0,1,0,1,0
Wes Iwundu,ORL,"SG,SF",1618520 ,-4.66,0,0,0,1,1
Robin Lopez,MIL,C,4767000 ,-4.66,1,0,0,0,0
Thon Maker,DET,"PF,C",3569643 ,-4.68,1,1,0,0,0
Mike Scott,PHI,"SF,PF",4767000 ,-4.7,0,1,0,1,0
Cheick Diallo,PHO,"PF,C",1678854 ,-4.72,1,1,0,0,0
Damyean Dotson,NYK,SG,1618520 ,-4.73,0,0,0,0,1
Chandler Hutchison?,CHI,"SG,SF",2332320 ,-4.75,0,0,0,1,1
Jeremy Pargo,GSW,"PG,SG",91557 ,-4.86,0,0,1,0,1
Grant Williams,BOS,PF,2379840 ,-4.87,0,1,0,0,0
Grayson Allen?,MEM,SG,2429400 ,-4.91,0,0,0,0,1
Sterling Brown,MIL,"SG,SF",1618520 ,-4.91,0,0,0,1,1
Ryan Arcidiacono?,CHI,PG,3000000 ,-4.99,0,0,1,0,0
Brandon Goodwin,ATL,PG,522738 ,-5.1,0,0,1,0,0
Noah Vonleh,DEN,"PF,C",2000000 ,-5.12,1,1,0,0,0
Timothe Luwawu-Cabarrot,BKN,"SG,SF",654468 ,-5.15,0,0,0,1,1
Edmond Sumner,IND,PG,2000000 ,-5.16,0,0,1,0,0
Johnathan Williams,WAS,PF,106181 ,-5.17,0,1,0,0,0
Tyler Johnson,PHO,"PG,SG",19245370 ,-5.17,0,0,1,0,1
Norvel Pelle,PHI,C,350189 ,-5.23,1,0,0,0,0
Kevon Looney?,GSW,"PF,C",4464286 ,-5.27,1,1,0,0,0
Georges Niang,UTA,"SF,PF",1678854 ,-5.28,0,1,0,1,0
Keldon Johnson,SAS,SF,1950600 ,-5.28,0,0,0,1,0
Mike Muscala,OKC,"PF,C",2028594 ,-5.29,1,1,0,0,0
Naz Mitrou-Long,IND,PG,77250 ,-5.3,0,0,1,0,0
Vince Carter,ATL,"SG,SF",2564753 ,-5.32,0,0,0,1,1
Willy Hernangomez,CHA,C,1676735 ,-5.33,1,0,0,0,0
Ryan Broekhoff,DAL,SF,1443842 ,-5.38,0,0,0,1,0
Tim Frazier,DET,"PG,SG",1882867 ,-5.39,0,0,1,0,1
Juancho Hernangomez,MIN,"SF,PF",3321030 ,-5.4,0,1,0,1,0
Drew Eubanks,SAS,PF,77250 ,-5.42,0,1,0,0,0
Terrance Ferguson,OKC,"SG,SF",2475840 ,-5.42,0,0,0,1,1
Alfonzo McKinnie,CLE,PF,1361046 ,-5.43,0,1,0,0,0
Trey Burke,PHI,PG,2028594 ,-5.43,0,0,1,0,0
Wayne Ellington,NYK,"SG,SF",7804878 ,-5.43,0,0,0,1,1
Lonnie Walker IV?,SAS,SG,2760480 ,-5.46,0,0,0,0,1
Matthew Dellavedova,CLE,"PG,SG",9607500 ,-5.47,0,0,1,0,1
Evan Turner?,MIN,"SG,SF",18606557 ,-5.47,0,0,0,1,1
Iman Shumpert,BKN,"SG,SF",419443 ,-5.48,0,0,0,1,1
Khem Birch,ORL,"PF,C",3000000 ,-5.48,1,1,0,0,0
Anzejs Pasecniks,WAS,C,482144 ,-5.48,1,0,0,0,0
Brandon Knight,DET,"PG,SG",15643750 ,-5.5,0,0,1,0,1
Hamidou Diallo,OKC,SG,1416852 ,-5.55,0,0,0,0,1
Thabo Sefolosha,HOU,"SG,SF",2564753 ,-5.58,0,0,0,1,1
Allonzo Trier,NYK,SG,3551100 ,-5.6,0,0,0,0,1
Elie Okobo,PHO,PG,1416852 ,-5.62,0,0,1,0,0
Raul Neto,PHI,PG,1737145 ,-5.63,0,0,1,0,0
Kadeem Allen,NYK,SG,77250 ,-5.76,0,0,0,0,1
Jerome Robinson,WAS,SG,3567720 ,-5.79,0,0,0,0,1
Jacob Evans III,MIN,SG,1925880 ,-5.81,0,0,0,0,1
Ante Zizic,CLE,C,2281800 ,-5.82,1,0,0,0,0
Sekou Doumbouya,DET,"SF,PF",3285120 ,-5.86,0,1,0,1,0
Dante Exum?,CLE,"PG,SG",9600000 ,-5.86,0,0,1,0,1
Bruno Fernando,ATL,C,1400000 ,-5.88,1,0,0,0,0
Bruno Caboclo,HOU,"SF,PF",1845301 ,-5.91,0,1,0,1,0
Kevin Knox II,NYK,"SF,PF",4380120 ,-5.95,0,1,0,1,0
Justin Jackson,DAL,SF,3280920 ,-5.99,0,0,0,1,0
Chandler Parsons,ATL,"SF,PF",25102511 ,-6,0,1,0,1,0
Marko Guduric,MEM,SG,2625000 ,-6.01,0,0,0,0,1
Alen Smailagic?,GSW,PF,898310 ,-6.01,0,1,0,0,0
Allen Crabbe,MIN,"SG,SF",17818456 ,-6.01,0,0,0,1,1
Anthony Tolliver,SAC,"SF,PF",2419852 ,-6.04,0,1,0,1,0
Ed Davis,UTA,"PF,C",4767000 ,-6.13,1,1,0,0,0
Gary Clark,HOU,"SF,PF",708426 ,-6.14,0,1,0,1,0
Chris Clemons,HOU,PG,568422 ,-6.15,0,0,1,0,0
Matt Thomas,TOR,SG,898310 ,-6.16,0,0,0,0,1
Goga Bitadze,IND,C,2816760 ,-6.17,1,0,0,0,0
Marco Belinelli,SAS,"SG,SF",5846154 ,-6.21,0,0,0,1,1
Rodions Kurucs,BKN,"SF,PF",1699236 ,-6.21,0,1,0,1,0
JaKarr Sampson,IND,"SG,SF",1737145 ,-6.22,0,0,0,1,1
Quinn Cook,LAL,PG,3000000 ,-6.22,0,0,1,0,0
Patrick Patterson,LAC,"PF,C",2331593 ,-6.23,1,1,0,0,0
Ty Jerome,PHO,"PG,SG",2193480 ,-6.24,0,0,1,0,1
Tremont Waters,BOS,PG,79568 ,-6.26,0,0,1,0,0
Nassir Little,POR,SF,2105520 ,-6.26,0,0,0,1,0
Semi Ojeleye,BOS,"SF,PF",1618520 ,-6.27,0,1,0,1,0
Nicolas Claxton,BKN,C,898310 ,-6.36,1,0,0,0,0
Chris Silva,MIA,SG,466918 ,-6.38,0,0,0,0,1
Yogi Ferrell,SAC,"PG,SG",3150000 ,-6.39,0,0,1,0,1
Nickeil Alexander-Walker?,NOP,SG,2964840 ,-6.39,0,0,0,0,1
Treveon Graham?,ATL,"SG,SF",1678854 ,-6.4,0,0,0,1,1
Theo Pinson,BKN,SF,1445697 ,-6.41,0,0,0,1,0
