age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
30,24.6,0.3,-4.6,-1.7,8.4,0.2,0.122,34,657,Jerryd Bayless,-2.9,1.8,-0.2,8.5,[<Position.POINT_GUARD: 'POINT GUARD'>],bayleje01,1.3,Team.MINNESOTA_TIMBERWOLVES,0.426,5.0,0.431,11.7,17.6,-0.4,0.0,-0.003
32,9.3,3.7,-1.5,0.3,19.8,1.1,0.278,51,821,Aron Baynes,-1.8,11.4,1.3,14.0,[<Position.CENTER: 'CENTER'>],baynear01,0.7,Team.BOSTON_CELTICS,0.274,15.6,0.567,13.8,15.2,0.1,2.4,0.139
29,13.5,2.2,-2.3,0.2,14.6,1.4,0.253,67,1643,Kent Bazemore,-2.5,2.3,-0.7,11.9,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bazemke01,2.5,Team.ATLANTA_HAWKS,0.434,8.3,0.507,13.6,22.0,-0.1,0.7,0.021
25,24.1,1.6,2.9,-0.8,11.7,1.7,0.278,82,3028,Bradley Beal,3.8,3.1,5.9,20.8,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bealbr01,1.9,Team.WASHINGTON_WIZARDS,0.37,7.4,0.581,11.0,28.4,3.7,7.6,0.12
22,7.5,0.5,0.1,-0.7,9.5,1.6,0.09,81,1879,Malik Beasley,0.8,2.0,2.9,14.2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],beaslma01,1.4,Team.DENVER_NUGGETS,0.55,5.8,0.599,6.7,18.7,1.0,4.5,0.115
30,14.8,3.0,-1.5,0.5,17.2,0.4,0.255,26,277,Michael Beasley,-1.9,4.9,-0.1,15.9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],beaslmi01,1.5,Team.LOS_ANGELES_LAKERS,0.111,11.2,0.532,13.7,29.5,0.0,0.2,0.039
32,10.1,0.4,-1.7,-1.2,10.8,1.1,0.18,79,1815,Marco Belinelli,-0.5,1.0,1.4,11.9,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],belinma01,0.9,Team.SAN_ANTONIO_SPURS,0.572,5.9,0.557,8.8,19.8,0.1,2.5,0.065
24,12.3,5.4,-0.9,1.3,16.7,1.1,0.214,68,788,Jordan Bell,-2.2,7.8,0.5,12.9,[<Position.CENTER: 'CENTER'>],belljo01,1.2,Team.GOLDEN_STATE_WARRIORS,0.01,12.5,0.531,16.7,13.7,0.2,1.6,0.096
24,14.7,1.8,-2.4,0.8,16.9,1.7,0.221,82,1931,DeAndre' Bembry,-3.3,2.9,-0.9,10.8,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bembrde01,2.5,Team.ATLANTA_HAWKS,0.281,9.7,0.508,17.4,17.2,-0.2,0.9,0.022
21,9.4,2.2,-4.1,-0.8,20.3,0.4,0.274,46,826,Dragan Bender,-3.4,4.5,0.0,9.5,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bendedr01,1.0,Team.PHOENIX_SUNS,0.513,12.3,0.521,14.4,13.4,-0.5,0.5,0.027
29,7.2,0.0,-8.8,-3.2,4.3,0.0,0.0,12,167,Dairis Bertāns,-5.6,1.3,-0.2,2.0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bertada02,0.3,Team.NEW_ORLEANS_PELICANS,0.723,2.8,0.362,4.1,12.0,-0.3,-0.2,-0.054
26,8.2,1.7,1.3,0.2,16.0,1.5,0.132,76,1632,Dāvis Bertāns,1.1,1.6,2.6,13.0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bertada01,1.0,Team.SAN_ANTONIO_SPURS,0.746,8.8,0.632,8.2,14.1,1.4,4.0,0.118
30,18.4,1.6,0.9,1.2,15.0,2.0,0.258,78,2137,Patrick Beverley,-0.3,3.9,2.8,11.8,[<Position.POINT_GUARD: 'POINT GUARD'>],beverpa01,1.5,Team.LOS_ANGELES_CLIPPERS,0.591,9.6,0.561,13.8,12.2,1.5,4.8,0.108
26,8.5,3.8,1.2,1.0,18.8,1.0,0.55,50,643,Khem Birch,0.1,13.0,1.8,19.2,[<Position.CENTER: 'CENTER'>],birchkh01,1.4,Team.ORLANDO_MAGIC,0.007,15.8,0.64,9.6,14.1,0.5,2.8,0.212
26,5.9,4.6,-2.5,0.0,23.3,0.8,0.583,54,783,Bismack Biyombo,-2.4,11.0,1.2,14.4,[<Position.CENTER: 'CENTER'>],biyombi01,0.7,Team.CHARLOTTE_HORNETS,0.0,17.0,0.602,14.8,12.7,-0.1,2.0,0.125
30,11.1,2.7,0.9,0.5,18.8,1.9,0.155,77,1788,Nemanja Bjelica,0.4,7.0,2.7,15.4,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bjeline01,1.4,Team.SACRAMENTO_KINGS,0.433,12.8,0.585,11.5,16.5,1.3,4.5,0.122
22,8.2,0.9,-5.2,-2.7,13.1,0.3,0.192,57,829,Antonio Blakeney,-2.4,0.9,-0.8,10.6,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],blakean01,0.7,Team.CHICAGO_BULLS,0.23,6.9,0.487,7.5,24.5,-0.7,-0.5,-0.03
29,27.4,1.1,3.1,1.2,11.8,3.7,0.243,78,2272,Eric Bledsoe,1.9,3.9,4.4,19.3,[<Position.POINT_GUARD: 'POINT GUARD'>],bledser01,2.4,Team.MILWAUKEE_BUCKS,0.388,8.1,0.577,13.3,22.9,2.9,8.2,0.173
25,4.2,1.6,-3.8,-1.8,19.1,0.1,0.123,27,439,Jaron Blossomgame,-1.9,6.3,0.2,10.2,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],blossja01,0.8,Team.CLEVELAND_CAVALIERS,0.368,12.4,0.51,9.0,12.2,-0.2,0.3,0.03
