age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers
27,94,383,37,202,8,76,60,6,151,33,66,973,Ian Clark,13,95,401,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],clarkia01,22,Team.NEW_ORLEANS_PELICANS,58
26,196,1180,192,445,13,188,81,0,529,162,144,2214,Jordan Clarkson,82,112,1364,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],clarkjo01,57,Team.CLEVELAND_CAVALIERS,135
21,121,831,266,158,39,376,61,59,465,203,55,1829,John Collins,219,199,1188,[<Position.POWER_FORWARD: 'POWER FORWARD'>],collijo01,22,Team.ATLANTA_HAWKS,120
21,71,400,126,121,66,215,77,0,189,94,40,1356,Zach Collins,109,174,512,[<Position.CENTER: 'CENTER'>],colliza01,25,Team.PORTLAND_TRAIL_BLAZERS,77
31,459,659,190,194,9,196,76,76,308,158,79,2143,Darren Collison,36,138,853,[<Position.POINT_GUARD: 'POINT GUARD'>],collida01,110,Team.INDIANA_PACERS,125
23,3,39,9,21,1,22,8,2,13,8,5,98,Bonzie Colson,8,3,39,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],colsobo01,5,Team.MILWAUKEE_BUCKS,3
31,449,1120,406,426,22,199,70,70,490,343,155,2342,Mike Conley,40,123,1478,[<Position.POINT_GUARD: 'POINT GUARD'>],conlemi01,94,Team.MEMPHIS_GRIZZLIES,130
26,122,350,40,200,25,197,61,2,163,29,66,1261,Pat Connaughton,61,81,421,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],connapa01,33,Team.MILWAUKEE_BUCKS,33
25,116,439,26,200,3,135,74,10,204,20,81,1059,Quinn Cook,22,92,509,[<Position.POINT_GUARD: 'POINT GUARD'>],cookqu01,20,Team.GOLDEN_STATE_WARRIORS,50
28,107,371,144,95,44,204,30,30,178,106,26,771,DeMarcus Cousins,43,109,488,[<Position.CENTER: 'CENTER'>],couside01,40,Team.GOLDEN_STATE_WARRIORS,72
28,14,117,23,77,23,60,13,13,50,17,30,440,Robert Covington,7,45,147,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],covinro01,24,Team.PHILADELPHIA_76ERS,22
28,32,245,66,148,24,105,22,22,106,51,55,763,Robert Covington,21,81,318,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],covinro01,50,Team.MINNESOTA_TIMBERWOLVES,25
26,46,373,56,259,13,132,43,20,137,41,98,1133,Allen Crabbe,16,102,413,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],crabbal01,23,Team.BROOKLYN_NETS,46
28,72,362,70,188,46,174,75,37,160,49,61,1503,Torrey Craig,89,175,430,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],craigto01,37,Team.DENVER_NUGGETS,44
38,229,438,110,202,12,77,64,0,174,93,67,1211,Jamal Crawford,8,75,508,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],crawfja01,33,Team.PHOENIX_SUNS,99
26,5,10,7,1,0,5,4,0,5,5,0,36,Mitch Creek,5,3,15,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],creekmi01,1,Team.BROOKLYN_NETS,0
26,1,6,0,1,0,1,1,0,3,0,0,12,Mitch Creek,1,0,6,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],creekmi01,1,Team.MINNESOTA_TIMBERWOLVES,1
28,133,797,197,522,31,324,80,11,318,142,173,2166,Jae Crowder,60,170,951,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],crowdja01,64,Team.UTAH_JAZZ,85
